Timestamp,Open,High,Low,Close,Volume
2024-04-23,165.35,167.05,164.92,166.9,49537760
2024-04-22,165.515,167.26,164.77,165.84,48116440
2024-04-19,166.21,166.4,164.075,165.0,68149380
2024-04-18,168.03,168.64,166.55,167.04,43122900
2024-04-17,169.61,170.65,168.0,168.0,50901210
2024-04-16,171.75,173.76,168.27,169.38,73711240
2024-04-15,175.36,176.63,172.5,172.69,73531770
2024-04-12,174.26,178.36,174.21,176.55,101670900
2024-04-11,168.34,175.46,168.16,175.04,91070280
2024-04-10,168.8,169.09,167.11,167.78,49709340
2024-04-09,168.7,170.08,168.35,169.67,42451210
2024-04-08,169.03,169.2,168.24,168.45,37425510
2024-04-05,169.59,170.39,168.95,169.58,42104830
2024-04-04,170.29,171.92,168.82,168.82,53704390
2024-04-03,168.79,170.68,168.58,169.65,47691720
2024-04-02,169.08,169.34,168.2302,168.84,49329480
2024-04-01,171.19,171.25,169.475,170.03,46240500
2024-03-28,171.75,172.23,170.51,171.48,65672690
2024-03-27,170.41,173.6,170.11,173.31,60273270
2024-03-26,170.0,171.42,169.58,169.71,57388450
2024-03-25,170.565,171.94,169.45,170.85,54288330
2024-03-22,171.76,173.05,170.06,172.28,71160140
2024-03-21,177.05,177.49,170.84,171.37,106181300
2024-03-20,175.72,178.67,175.09,178.67,53423100
2024-03-19,174.34,176.605,173.03,176.08,55215240
2024-03-18,175.57,177.71,173.52,173.72,75604180
2024-03-15,171.17,172.62,170.285,172.62,121752700
2024-03-14,172.91,174.3078,172.05,173.0,72913510
2024-03-13,172.77,173.185,170.76,171.13,52488690
2024-03-12,173.15,174.03,171.01,173.23,59825370
2024-03-11,172.94,174.38,172.05,172.75,60139470
2024-03-08,169.0,173.7,168.94,170.73,76267040
2024-03-07,169.15,170.73,168.49,169.0,71765060
2024-03-06,171.06,171.24,168.68,169.12,68587710
2024-03-05,170.76,172.04,169.62,170.12,95132360
2024-03-04,176.15,176.9,173.79,175.1,81510100
2024-03-01,179.55,180.53,177.38,179.66,73563080
2024-02-29,181.27,182.57,179.53,180.75,136682600
2024-02-28,182.51,183.12,180.13,181.42,48953940
2024-02-27,181.1,183.9225,179.56,182.63,54318850
2024-02-26,182.24,182.76,180.65,181.16,40867420
2024-02-23,185.01,185.04,182.23,182.52,45119680
2024-02-22,183.48,184.955,182.46,184.37,52292210
2024-02-21,181.94,182.8888,180.66,182.32,41529670
2024-02-20,181.79,182.43,180.0,181.56,53665550
2024-02-16,183.42,184.85,181.665,182.31,49752470
2024-02-15,183.55,184.49,181.35,183.86,65434500
2024-02-14,185.32,185.53,182.44,184.15,54630520
2024-02-13,185.77,186.21,183.5128,185.04,56529530
2024-02-12,188.415,188.67,186.79,187.15,41781930
2024-02-09,188.65,189.99,188.0,188.85,45155220
2024-02-08,189.385,189.535,187.35,188.32,40962050
2024-02-07,190.64,191.05,188.61,189.41,53438960
2024-02-06,186.86,189.31,186.7695,189.3,43490760
2024-02-05,188.15,189.25,185.84,187.68,69668820
2024-02-02,179.86,187.33,179.25,185.85,102551700
2024-02-01,183.985,186.95,183.82,186.86,64885410
2024-01-31,187.04,187.095,184.35,184.4,55467800
2024-01-30,190.94,191.8,187.47,188.04,55859370
2024-01-29,192.01,192.2,189.58,191.73,47145620
2024-01-26,194.27,194.76,191.94,192.42,44594010
2024-01-25,195.22,196.2675,193.1125,194.17,54822130
2024-01-24,195.42,196.38,194.34,194.5,53631320
2024-01-23,195.02,195.75,193.8299,195.18,42355590
2024-01-22,192.3,195.33,192.26,193.89,60133850
2024-01-19,189.33,191.95,188.82,191.56,68902990
2024-01-18,186.09,189.14,185.83,188.63,78005750
2024-01-17,181.27,182.93,180.3,182.68,47317430
2024-01-16,182.16,184.26,180.934,183.63,65603040
2024-01-12,186.06,186.74,185.19,185.92,40477780
2024-01-11,186.54,187.05,183.62,185.59,49128410
2024-01-10,184.35,186.4,183.92,186.19,46792910
2024-01-09,183.92,185.15,182.73,185.14,42841810
2024-01-08,182.085,185.6,181.5,185.56,59144470
2024-01-05,181.99,182.76,180.17,181.18,62379660
2024-01-04,182.15,183.0872,180.88,181.91,71983570
2024-01-03,184.22,185.88,183.43,184.25,58414460
2024-01-02,187.15,188.44,183.885,185.64,82488670
2023-12-29,193.9,194.4,191.725,192.53,42672150
2023-12-28,194.14,194.66,193.17,193.58,34049900
2023-12-27,192.49,193.5,191.09,193.15,48087680
2023-12-26,193.61,193.89,192.83,193.05,28919310
2023-12-22,195.18,195.41,192.97,193.6,37149570
2023-12-21,196.1,197.08,193.5,194.68,46482550
2023-12-20,196.9,197.68,194.83,194.83,52242820
2023-12-19,196.16,196.95,195.89,196.94,40714050
2023-12-18,196.09,196.63,194.39,195.89,55751860
2023-12-15,197.53,198.3999,197.0,197.57,128538400
2023-12-14,198.02,199.62,196.16,198.11,66831570
2023-12-13,195.09,198.0,194.85,197.96,70404180
2023-12-12,193.08,194.72,191.721,194.71,52696900
2023-12-11,193.11,193.49,191.42,193.18,60943700
2023-12-08,194.2,195.99,193.67,195.71,53406360
2023-12-07,193.63,195.0,193.59,194.27,47477660
2023-12-06,194.45,194.76,192.11,192.32,41089740
2023-12-05,190.21,194.4,190.18,193.42,66628400
2023-12-04,189.98,190.05,187.4511,189.43,43389520
2023-12-01,190.33,191.56,189.23,191.24,45704820
2023-11-30,189.84,190.32,188.19,189.95,48794370
2023-11-29,190.9,192.09,188.97,189.37,43014220
2023-11-28,189.78,191.08,189.4,190.4,38415420
2023-11-27,189.92,190.67,188.9,189.79,40552610
2023-11-24,190.87,190.9,189.25,189.97,24048340
2023-11-22,191.49,192.93,190.825,191.31,39630010
2023-11-21,191.41,191.52,189.74,190.64,38134490
2023-11-20,189.89,191.905,189.88,191.45,46538610
2023-11-17,190.25,190.38,188.57,189.69,50941400
2023-11-16,189.57,190.96,188.65,189.71,54412920
2023-11-15,187.845,189.5,187.78,188.01,53790500
2023-11-14,187.7,188.11,186.3,187.44,60108380
2023-11-13,185.82,186.03,184.21,184.8,43627520
2023-11-10,183.97,186.565,183.53,186.4,66177920
2023-11-09,182.96,184.12,181.81,182.41,53763540
2023-11-08,182.35,183.45,181.59,182.89,49340280
2023-11-07,179.18,182.44,178.97,181.82,70529970
2023-11-06,176.38,179.43,176.21,179.23,63841310
2023-11-03,174.24,176.82,173.35,176.65,79829250
2023-11-02,175.52,177.78,175.46,177.57,77334750
2023-11-01,171.0,174.23,170.12,173.97,56934910
2023-10-31,169.35,170.9,167.9,170.77,44846020
2023-10-30,169.02,171.17,168.87,170.29,51130960
2023-10-27,166.91,168.96,166.83,168.22,58499130
2023-10-26,170.37,171.3775,165.67,166.89,70625260
2023-10-25,171.88,173.06,170.65,171.1,57156960
2023-10-24,173.05,173.67,171.45,173.44,43816640
2023-10-23,170.91,174.01,169.93,173.0,55980110
2023-10-20,175.31,175.42,172.64,172.88,64244030
2023-10-19,176.04,177.84,175.19,175.46,59302860
2023-10-18,175.58,177.575,175.11,175.84,54764380
2023-10-17,176.645,178.42,174.8,177.15,57549350
2023-10-16,176.75,179.075,176.51,178.72,52516980
2023-10-13,181.42,181.93,178.14,178.85,51456080
2023-10-12,180.07,182.34,179.04,180.71,56743120
2023-10-11,178.2,179.85,177.6,179.8,47551100
2023-10-10,178.1,179.72,177.95,178.39,43698020
2023-10-09,176.81,179.05,175.8,178.99,42390770
2023-10-06,173.8,177.99,173.18,177.49,57266680
2023-10-05,173.79,175.45,172.68,174.91,48527920
2023-10-04,171.09,174.21,170.97,173.66,53020290
2023-10-03,172.255,173.63,170.82,172.4,49594610
2023-10-02,171.22,174.3,170.93,173.75,52164540
2023-09-29,172.02,173.07,170.341,171.21,51861080
2023-09-28,169.34,172.03,167.62,170.69,56294420
2023-09-27,172.62,173.04,169.05,170.43,66921810
2023-09-26,174.82,175.2,171.66,171.96,64588950
2023-09-25,174.2,176.97,174.15,176.08,46172740
2023-09-22,174.67,177.079,174.05,174.79,56725390
2023-09-21,174.55,176.3,173.86,173.93,63149120
2023-09-20,179.26,179.695,175.4,175.49,58436180
2023-09-19,177.52,179.63,177.13,179.07,51826940
2023-09-18,176.48,179.38,176.17,177.97,67257570
2023-09-15,176.48,176.495,173.82,175.01,109259500
2023-09-14,174.0,176.1,173.58,175.74,60895760
2023-09-13,176.51,177.3,173.98,174.21,84267930
2023-09-12,179.49,180.13,174.82,176.3,90370190
2023-09-11,180.07,180.3,177.34,179.36,58953050
2023-09-08,178.35,180.239,177.79,178.18,65602070
2023-09-07,175.18,178.21,173.54,177.56,112488800
2023-09-06,188.4,188.85,181.47,182.91,81755820
2023-09-05,188.28,189.98,187.61,189.7,45280030
2023-09-01,189.485,189.92,188.28,189.46,45766500
2023-08-31,187.84,189.12,187.48,187.87,60794470
2023-08-30,184.94,187.85,184.74,187.65,60813890
